Dust My Broom	1970	date
Deep Down In Florida	1970	date
Deep Blues Sea	1970	date
Crying	1970	date
Crosseyed Cat	1970	date
Come By Here	1970	date
Cocaine Blues	1970	date
Change Of Pace	1970	date
Chains And Things	1970	date
Certified Blues	1970	date
Can't You See What You're Doing To Me	1970	date
Can't Stop Lovin'	1970	date
Call My Job	1970	date
Caldonia (Version 1)	1970	date
Brown Sugar	1970	date
Born Under A Bad Sign	1970	date
Blue Shadows	1970	date
Blue Jean Blues	1970	date
Big Legged Women	1970	date
Better Not Look Down	1970	date
Bar-B-Q	1970	date
Back Door Love Affair	1970	date
Ask Me No Questions	1970	date
Answer To The Laundromat Blues	1970	date
Ain't Nothing You Can Do	1970	date
Ain't Nobody's Business	1970	date
Ain't Nobody Home	1970	date
(Ain't It) A Real Good Sign	1970	date
Ain't Gonna Worry My Life Anymore	1970	date
A World Full Of Strangers	1970	date
A Story Everybody Knows	1970	date
You Were Wrong	1970	date
You're Still My Woman	1970	date
You Got To Lose	1970	date
You Can't Lose What You Never Had	1970	date
Who Are You	1970	date
When The Welfare Turns Its Back On You	1970	date
Waitin' For The Bus	1970	date
Took The Car	1970	date
The Blues Had A Baby And They Named It Rock And Roll	1970	date
The Beginning Of The End	1970	date
That's What The Blues Is All About	1970	date
Take It Home	1970	date
(Somebody Else Been) Shakin' Your Tree	1970	date
She Loves My Automobile	1970	date
Second Hand Woman	1970	date
Same Old Story (Same Old Song)	1970	date
Running Out Of Steam	1970	date
Rub My Back	1970	date
Power Of The Blues	1970	date
Part Time Love	1970	date
Pan Am Highway Blues	1970	date
Pack It Up	1970	date
One Bourbon, One Scotch, One Beer	1970	date
Niji Baby	1970	date
Never Make A Move Too Soon	1970	date
Neighbor, Neighbor	1970	date
My Pretty Girl	1970	date
My Babe	1970	date
Move Me On Down The Line	1970	date
Move It On Over	1970	date
Midnight Believer	1970	date
Master Charge (version 1)	1970	date
Mamie	1970	date
Madison Blues	1970	date
Let The Good Times Roll (Version 1)	1970	date
Let Me Make You Cry A Little Longer	1970	date
Just Got Paid	1970	date
Just Got Back From Baby's	1970	date
Jesus Just Left Chicago	1970	date
I Wonder Why	1970	date
I Want To Be Loved	1970	date
I Wanna Get Funky	1970	date
I've Got Papers On You	1970	date
I've Always Been Lonely	1970	date
I'm Ready	1970	date
I'll Play The Blues For You (Part 1 and 2)	1970	date
I Like To Live The Love	1970	date
I Just Can't Leave Your Love Alone	1970	date
I Get Evil	1970	date
I Don't Care What My Baby Do	1970	date
Hummingbird	1970	date
How Blue Can You Get	1970	date
Hold On	1970	date
Hi Fi Mama	1970	date
Happy Birthday Blues	1970	date
Guitar Man	1970	date
Go Underground	1970	date
Ghetto Woman	1970	date
GetOut Of My Life Woman	1970	date
Five Long Years (Version 1)	1970	date
Eyesight To The Blind	1970	date
Everyday I Have The Blues (Version 2)	1970	date
Dust My Broom	1970	date
Deep Down In Florida	1970	date
Deep Blues Sea	1970	date
Crying	1970	date
Crosseyed Cat	1970	date
Come By Here	1970	date
Cocaine Blues	1970	date
Change Of Pace	1970	date
Chains And Things	1970	date
Certified Blues	1970	date
Can't You See What You're Doing To Me	1970	date
Can't Stop Lovin'	1970	date
Call My Job	1970	date
Caldonia (Version 1)	1970	date
Brown Sugar	1970	date
Born Under A Bad Sign	1970	date
Blue Shadows	1970	date
Blue Jean Blues	1970	date
Big Legged Women	1970	date
Better Not Look Down	1970	date
Bar-B-Q	1970	date
Back Door Love Affair	1970	date
Ask Me No Questions	1970	date
Answer To The Laundromat Blues	1970	date
Ain't Nothing You Can Do	1970	date
Ain't Nobody's Business	1970	date
Ain't Nobody Home	1970	date
(Ain't It) A Real Good Sign	1970	date
Ain't Gonna Worry My Life Anymore	1970	date
A World Full Of Strangers	1970	date
A Story Everybody Knows	1970	date
You've Become A Habbit To Me	1980	date
You've Always Got The Blues	1980	date
You Talk Too Much	1980	date
